Item No.,Item No. on PDCA,Car Maker,Car Model,Line,Findings,Items to Check/Action,Department,Person in Charge,Status,Target Date,,,
314,12,HONDA,3MOA Floor,3147,Grommet Expansion Diameter not specified,For confirmation since manual.,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
315,13,HONDA,3MOA Floor,3147,Checker jig wings are damaged and missing,Coordinate to AME,PE-BAE (Maintenance),Shawn,OPEN,14-Aug-23,,,
316,18,HONDA,3MOA Floor,3147,No sequence no. on tape box in option taping,Provide sequence no. on tape box in option taping ,PE-FABRICATION,,OPEN,,,,
317,1,HONDA,TKRA Eng,3129,Connector storage box is lower than the location of tsumesen tupper box.,Request to provide flatform for connector storage box,PRODUCTION,,OPEN,,,,
318,3,HONDA,TKRA Eng,3129,NG sample connector picture on all Sub PC.,Request to change NG sample connector picture on all Sub PC.,PE-FABRICATION,,OPEN,,,,
319,4,HONDA,TKRA Eng,3129,NG Componenrt box,Request to fabrication to repair all NG component box,PE-FABRICATION,,OPEN,,,,
320,6,HONDA,TKRA Eng,3129,"Dimension defect, damaged parts",Request to add receiving jig for branch. 178 and 154 ,PE-BAE (ASSY DEV),,OPEN,,,,
321,7,HONDA,TKRA Eng,3129,"Loose jigs, loose lockset, missing and wrong E-tanmatsu,S-pin, no bendable jig",Request to repair jigs with red tag on assy,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
322,8,HONDA,TKRA Eng,3129,Correct orientation of grommet is not included on OI,Request to include grommet orientation on OI.,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
323,9,HONDA,TKRA Eng,3129,Request to specify the grommet expansion diameter and setting value on OI.,Update OI for Grommet Fitting,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
324,10,HONDA,TKRA Eng,3129,Request to include Good and No Good grommet mounting criteria on OI.,Update OI for Grommet Fitting,PE-FABRICATION,,OPEN,,,,
325,11,HONDA,TKRA Eng,3129,Request to include specification of wire biting precautions on OI.,Update OI for Grommet Fitting,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
326,12,HONDA,TKRA Eng,3129,"Request to include Grommet mounting direction
and mounting position on OI.",Update OI for Grommet Fitting,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
327,25,HONDA,TKRA Eng,3129,Possible to encounter wrong combine,"Request to add receiving jig for branch 
on Shiage Process",PE-BAE (ASSY DEV),,OPEN,,,,
328,29,HONDA,TKRA Eng,3129,NG Vinyl cover of dimension board,Request to replace vinyl cover of dimension board,QA-Final ,,OPEN,,,,
329,30,HONDA,TKRA Eng,3129,No workload division on Dimension Inspection,Request to provide workload division line on Dimension and QA inspection board.,QA-Final ,,OPEN,,,,
330,37,HONDA,TKRA Eng,3129,Repair NG checker jig,Request to repair jigs with red tag on ECT.,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
331,39,HONDA,TKRA Eng,3129,Not updated OI,Post revised OI,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
332,2,HONDA,TKRA Inp,3125,No label of sample connector and faded picture on topper box,Request to provide label ,PE-FABRICATION,,OPEN,,,,
333,5,HONDA,TKRA Inp,3125,Wrong view of connector (Note:Cutting of clamp was on shiage),Request to fix the view ,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
334,6,HONDA,TKRA Inp,3125,No applicable product number displayed on sub hanger,Need to provide applicable product number displayed on sub hanger.,PRODUCTION,,OPEN,,,,
335,7,HONDA,TKRA Inp,3125,Need to orient associate upon proper sequence of setting parts.,Request to arragement of parts supply based on design of component box,ME-Initial (Preparation),Donna,OPEN,24-Jul-23,,,
336,8,HONDA,TKRA Inp,3125,Request to monren,Confirm affected branch,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
337,9,HONDA,TKRA Inp,3125,No receiving jig after combine,Request to change layout ,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
338,10,HONDA,TKRA Inp,3125,Color of YSOP was not tally on actual color,Request to change color of YSOP,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
339,11,HONDA,TKRA Inp,3125,No bendable cover connector jig and clamp jig,Request to provide bendable cover connector jig and clamp jig,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
340,12,HONDA,TKRA Inp,3125,Board 2 loose jig,Request to fix,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
341,13,HONDA,TKRA Inp,3125,No spacer connector HSE/YSN4-20M board # 10 conn# 78,Request to provide spacer of connector ,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
342,15,HONDA,TKRA Inp,3125,NG PHJ ,Request to fix all damaged and missing PHJ,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
343,16,HONDA,TKRA Inp,3125,No receiving jig after combine,Request to provide receiving jig connector HSE/DHE2-L66FA,PE-BAE (ASSY DEV),,OPEN,,,,
344,17,HONDA,TKRA Inp,3125,No color indication connector number and name of checker jig ,Provide color indication connector number and name of checker,PE-BAE (ECT),Teresa,OPEN,12-Jul-23,,,
345,18,HONDA,TKRA Inp,3125,NG option tape box ,Request to provide new option box,PE-FABRICATION,,OPEN,,,,
346,19,HONDA,TKRA Inp,3125,Damaged tape holder,Request to provide proper tape holder ,PE-FABRICATION,,OPEN,,,,
347,20,HONDA,TKRA Inp,3125,NG vinyl cover on ECT and clamp checking board,Request to change vinyl cover,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
348,21,HONDA,TKRA Inp,3125,"Associate encountered difficulty on process due to height of jig.

(For confirmation if what portion)",Request to adjust the height of alignment jig due to encountered difficulty of associate ,PE-BAE (ASSY DEV),,OPEN,,,,
349,22,HONDA,TKRA Inp,3125,No workload division line on Dimension inspection board.,Request to provide workload division line on Dimension inspection board.,QA-Final ,,OPEN,,,,
350,23,HONDA,TKRA Inp,3125,Different Layout of branch on assy board vs dimension board,Request if possible to align the layout on either Dimension board or assy board,PE-BAE (ASSY DEV),Mhean,OPEN,31-Jul-23,,,
351,24,HONDA,TKRA Inp,3125,Not align height of clamp jig to connector jig,Request to fix alignment ,PE-BAE (ASSY DEV),,OPEN,,,,
352,25,HONDA,TKRA Inp,3125,NG wire catcher for sub hanger,Request to repair NG wire catcher,PE-FABRICATION,,OPEN,,,,
353,26,HONDA,TKRA Inp,3125,Foreign materials on connector storage box,Conduct 5S,PRODUCTION,,OPEN,,,,
354,27,HONDA,TKRA Inp,3125,No running product label on sub assy,Request to provide product label,PRODUCTION,,OPEN,,,,
355,28,HONDA,TKRA Inp,3125,Worker is not aware about what to do to falling parts,Conduct orientation on what to do to falling parts,PRODUCTION,,OPEN,,,,
356,29,HONDA,TKRA Inp,3125,Missing lockset on assy board,Request to provide replacement,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
357,30,HONDA,TKRA Inp,3125,Missing connector cover,Request to provide replacement,PRODUCTION,,OPEN,,,,
358,31,HONDA,TKRA Inp,3125,Associate is not fully aware about the important things to remember in the attachment of nameplate,Conduct orientation about the attachment of nameplate,PRODUCTION,,OPEN,,,,
359,32,HONDA,TKRA Inp,3125,Associate is not fully aware about important inspection points on dimension inspection,Conduct orientation about important inspection points on dimension inspections,PRODUCTION,,OPEN,,,,
360,33,HONDA,TKRA Inp,3125,Unnecessary pen markings on ECT board,Conduct 5S,PRODUCTION,,OPEN,,,,
361,34,HONDA,TKRA Inp,3125,Damaged checker jigs,Request to provide checker jigs,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
362,1,HONDA,TKRA Floor,3127,Request to change 'NG sample of connector ,Repair the connector sample ,PE-FABRICATION,,OPEN,,,,
363,2,HONDA,TKRA Floor,3127,No label of connector ,Request to provide label of connector,PE-FABRICATION,,OPEN,,,,
364,3,HONDA,TKRA Floor,3127,Correct orientation of grommet is not included on OI,Request to include good & bad condition and orientation of grommet on OI.,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
365,4,HONDA,TKRA Floor,3127,No spacer connector ,Request to provide spacer on all boards connector STW-SBU-4F-DGR ,PE-BAE (Maintenance),Khea,OPEN,31-Jul-23,,,
366,5,HONDA,TKRA Floor,3127,No color s-pin,"Request to provide color s-pin of connector HVS-SB-2F-B from white to black s-pin board # 10 , 2, 1",PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
367,6,HONDA,TKRA Floor,3127,Damaged vinyl cover on dimension board,Request to replace vinyl cover of dimension board,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
368,7,HONDA,TKRA Floor,3127,Damaged vinyl cover on ECT board,Request to replace vinyl cover of ECT  board,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
369,8,HONDA,TKRA Floor,3127,No workload division,Request to provide workload division line on Dimension inspection board.,QA-Final ,,OPEN,,,,
370,9,HONDA,TKRA Floor,3127,Lacking bendable jig cover,"Request to provide cover on bendable jig
Board  # 8 # 6 # 11 ",PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
371,10,HONDA,TKRA Floor,3127,NG Component box," Request to fabrication to repair all NG component box
(For arrange component shelves)",PE-FABRICATION,,OPEN,,,,
372,11,HONDA,TKRA Floor,3127,Faded Upper line limit on connector tupper box,Repair the faded upper line limit of connector tupper box,PE-FABRICATION,,OPEN,,,,
373,12,HONDA,TKRA Floor,3127,No good setting of nameplate ,Conduct orientation to associate about the checking of nameplate,PRODUCTION,,OPEN,,,,
374,13,HONDA,TKRA Floor,3127,Associate did not perform 3x slightly pulling of grommet tail on bukumi process due to not aware ,"Conduct orientation to conduct 3x pulling of grommet tail
Include on OI",ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
375,14,HONDA,TKRA Floor,3127,Messy component box ,Request to arragement of parts supply based on design of component box,PE-FABRICATION,,OPEN,,,,
376,15,HONDA,TKRA Floor,3127,Not Updated and Lacking OI,Request for an updated OI,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
377,16,HONDA,TKRA Floor,3127,NG bandogun,Request to fixed NG bandogun ,PE-EQ-FINAL,,OPEN,18-Jul-23,,,
378,17,HONDA,TKRA Floor,3127,"No color indication of checker jig airbag
Connector #39 #49 #15 #27 #20",Request to provide color indication jig airbag,PE-BAE (ECT),Teresa,OPEN,12-Jul-23,,,
379,18,HONDA,TKRA Floor,3127,No tanmatsu jig,"Request to provide tanmatsu jig                                  
Board # 2 # 1 # 12",PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
380,19,HONDA,TKRA Floor,3127,Wrong layout,"Request to change layout branch 168
Check if can be changed.",ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
381,20,HONDA,TKRA Floor,3127,'Not updated running product number displayed on sub hanger.,Upadate the running product ,PRODUCTION,,OPEN,,,,
382,21,HONDA,TKRA Floor,3127,"Possible to wrong combine of branch during fixing of clamp near branch 168 & 169
224 - clamp 125 for checking of SOT",Request for verification,ME-NPI (MPPD),Mhean,OPEN,31-Jul-23,,,
383,22,HONDA,TKRA Floor,3127,NG wings on checker jig,"Request to fixed the NG wings on checker jig at ECT.
Checker No. (35, 14, 12, 4, 21, 46, 51)",PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
384,23,HONDA,TKRA Floor,3127,Broken beam holder,Repair beam holder,PE-FABRICATION,,OPEN,,,,
385,24,HONDA,TKRA Floor,3127,Foreign materials inside tupper box.,Conduct 5S,PRODUCTION,,OPEN,,,,
386,25,HONDA,TKRA Floor,3127,NG jig height of connector 227,Verify jig height,PE-BAE (ASSY DEV),,OPEN,,,,
387,26,HONDA,TKRA Floor,3127,Loose and tight jigs,Fix the loose and tight jigs on Assy board.,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
388,27,HONDA,TKRA Floor,3127,No good catcher on Assy board,Repair wire catcher on Assy board,PE-FABRICATION,,OPEN,,,,
389,28,HONDA,TKRA Floor,3127,Lacking lockset,Provide lockset,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
390,29,HONDA,TKRA Floor,3127,No E-bag,Already request,PRODUCTION,,OPEN,,,,
391,30,HONDA,TKRA Floor,3127,Lacking connector cover for not applicable product,Provide connector cover,ME-Initial (Preparation),Donna,OPEN,31-Jul-23,,,
392,30,HONDA,TKRA Floor,3127,Associate was not aware on what they will do if encountered NG terminal. ,Conduct orientation about NG terminal ,PRODUCTION,,OPEN,,,,
393,4,MAZDA,J20E,1033,No installed bendable cover on assy jig,Request to install bendable cover,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
394,18,MAZDA,J30A,1135,Non compliance on following SOT,Follow SOT,PRODUCTION,J. Dimaculangan,OPEN,,,,
395,22,MAZDA,J30A,1135,Damaged L- shaped molding jig,Request to repair the loose spacer.,PE-BAE (Maintenance),Shawn,OPEN,31-Jul-23,,,
396,25,MAZDA,J30A,1135,Associate's have no available E-Bag, Request to provide E-Bag.,PRODUCTION,J. Dimaculangan,OPEN,30-2-23,,,
397,26,MAZDA,J30A,1135,No workload division on Dimension Inspection Process,Provide reference for division of workload at dimension process.,QA-Final ,,OPEN,,,,
398,31,MAZDA,J30A,1135,Dimension between assy jigs ,Conduct checking of dimension between assy jigs,PE-BAE (ASSY DEV),N. Axalan,OPEN,,,,
399,32,MAZDA,J30A,1135,Br. 1 and Br. 2 have possibility to combine with each other,Revision of SOT (transfer attachment of clamp 75 to shiage),ME-NPI (MPPD),A. Dimaano,OPEN,,,,
400,4,MAZDA,J30A,1136,No available protective cover.,Request to fabrication to provide protective vinyl cover.,PE-FABRICATION,,OPEN,7-Feb-23,,,
401,6,MAZDA,J30A,1136,No available  product number per aplicable.,Request product number per applicable.,PE-FABRICATION,,OPEN,,,,
402,9,MAZDA,J30A,1136,"Missing jig covers,No E-tanmatsu conn.71,51.
-Missing lockset conn.49 board 6.
-Missing S-pin ,121,50,32,125,31","Request to Ame to put tanmatsu,lockset,jig cover  and S-pin.",PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
403,11,MAZDA,J30A,1136,Ng wire catcher.,Request to fabrication to repair wire catcher.,PE-FABRICATION,,OPEN,,,,
404,13,MAZDA,J30A,1136,No provided SPJ for pink tape. ,Provide SPJ for pink tape,PE-BAE (ASSY DEV),N. Axalan,OPEN,,,,
405,14,MAZDA,J30A,1136,Faded upperline limit,Provide upperline limit,PE-FABRICATION,,OPEN,,,,
406,16,MAZDA,J30A,1136,Associate did not conduct lightly pulling of grommet and checking if comes off,Conduct orientation to conduct lightly pulling of grommet and check of comes off,PRODUCTION,J. Dimaculangan,OPEN,7-Feb-23,,,
407,18,MAZDA,J30A,1136,Associate is not aware on proper lock of retainer on layout,Orient associate on proper lock of retainer on layout,PRODUCTION,J. Dimaculangan,OPEN,7-Feb-23,,,
408,19,MAZDA,J30A,1136,Lay-out associate is unaware on bending frequency.,Conduct orientation for wire bending frequency,PRODUCTION,J. Dimaculangan,OPEN,7-Feb-23,,,
409,20,MAZDA,J30A,1136,Associate is not knowledgeable on the items need to check on nameplate,Conduct orientation on important points of attachment of nameplate,PRODUCTION,J. Dimaculangan,OPEN,7-Feb-23,,,
410,21,MAZDA,J30A,1136,Faded workload division,Provide workload division,QA-Final ,,OPEN,,,,
411,22,MAZDA,J30A,1136,'Damaged wing on ECT Process,Request to repair damaged wing of checker on ECT,PE-BAE (Maintenance),Shawn,OPEN,31-Jul-23,,,
412,23,MAZDA,J30A,1136,"'Based on observation, associate conduct hitting the checker on ECT Inspection",Conduct orientation on proper inspection on ECT process,PE-BAE (Maintenance),Shawn,OPEN,31-Jul-23,,,
413,25,MAZDA,J30A,1136,Damaged option tape box,Repair damaged option tape box,PE-FABRICATION,,OPEN,,,,
414,27,MAZDA,J30A,1136,Ink stamp on alignment jig is faded ,Provide ink stamp,PRODUCTION,J. Dimaculangan,OPEN,7-Feb-23,,,
415,29,MAZDA,J30A,1136,Dimension between assy jigs ,Conduct checking of dimension between assy jigs,PE-BAE (ASSY DEV),N. Axalan,OPEN,7-Feb-23,,,
416,1,MAZDA,J30A,1137,Connector storage box is lower than the location of tsumesen tupper box.,Request to provide flatform for connector storage box,PRODUCTION,J. Dimaculangan,OPEN,,,,
417,2,MAZDA,J30A,1137,'No provided claw plug jig,Provide claw plug jig,ME-Initial (Preparation),Donna,OPEN,31-Jul-23,,,
418,10,MAZDA,J30A,1137,'Not included on OI reference for slit VO ,Request to include on OI,ME-NPI (MPPD),A. Dimaano,OPEN,,,,
419,19,MAZDA,J30A,1137,Same branch conn 3& 4,Check the similar parts on affected portion,ME-NPI (MPPD),A. Dimaano,OPEN,,,,
420,20,MAZDA,J30A,1137,'Missing and wrong color of e-tanmatsu,Request to provide and repair wrong e-tanmatsu,PE-BAE (Maintenance),Shawn,OPEN,31-Jul-23,,,
421,21,MAZDA,J30A,1137,Loose and tight lockset,Request to repair loose lockset,PE-BAE (Maintenance),Shawn,OPEN,31-Jul-23,,,
422,25,MAZDA,J30A,1137,'Lacking jig cover,Provide lacking jig cover,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
423,30,MAZDA,J30A,1137,Some associate don’t have E-bag,Request E-bag,PRODUCTION,J. Dimaculangan,OPEN,,,,
424,31,MAZDA,J30A,1137,Misalign 3D dimension jig,Repair misalign 3D dimension jig,PE-BAE (ASSY DEV),N. Axalan,OPEN,,,,
425,32,MAZDA,J30A,1137,No workload division for inspector on inspection table,Request to put division on inspection table for inspector,QA-Final ,,OPEN,,,,
426,33,MAZDA,J30A,1137,No conn.picture for same conn. As reference for conn.20&conn.21,Request to put conn. Reference for conn.20& conn.21 on dimension & appearance table.,PRODUCTION,J. Dimaculangan,OPEN,,,,
427,34,MAZDA,J30A,1137,Hard to control the view of conn. 20 and conn. 21 in Option Taping Process,Conduct study regarding jig of conn. 20 and conn. 21,PE-BAE (ASSY DEV),N. Axalan,OPEN,,,,
428,36,MAZDA,J30A,1137,Location of tapebox is far,Change location of tape box,PE-FABRICATION,,OPEN,,,,
429,39,MAZDA,J30A,1137,'No conn.picture for same conn. As reference for conn.20 & conn.21 on option process,Request to put conn. Reference for conn.20& conn.21 on option process.,PRODUCTION,J. Dimaculangan,OPEN,,,,
430,40,MAZDA,J30A,1137,Dimension between assy jigs ,Conduct checking of dimension between assy jigs,PE-BAE (ASSY DEV),N. Axalan,OPEN,,,,
431,6,MAZDA,J30A,1138,No label on tupperbox,Provide label on tupperbox,PE-FABRICATION,,OPEN,,,,
432,7,MAZDA,J30A,1138,No connector picture on SNH-32F,Put connector picture,PE-FABRICATION,,OPEN,,,,
433,9,MAZDA,J30A,1138,Good and NG status of grommet is not included on OI,Request to include on OI,ME-NPI (MPPD),A. Dimaano,OPEN,,,,
434,10,MAZDA,J30A,1138,"After fixing taping, associate did not conduct lightly pulling of grommet",Conduct orientation to associate regading lighly pulling of grommet,PRODUCTION,J. Dimaculangan,OPEN,,,,
435,13,MAZDA,J30A,1138,No good arrangement of parts based on WI,Arrange parts based on WI and conduct orientation,PRODUCTION,J. Dimaculangan,OPEN,,,,
436,14,MAZDA,J30A,1138,Damaged applicable and damage labels on one set supply box,Repair damaged labels and applicable,PE-FABRICATION,,OPEN,,,,
437,17,MAZDA,J30A,1138,Damaged jig cover,request to provide jig cover,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
438,18,MAZDA,J30A,1138,Non compliance of clamp fixing work taping,Conduct orientation regarding proper taping on fixing,PRODUCTION,J. Dimaculangan,OPEN,,,,
439,20,MAZDA,J30A,1138,Non compliance on retainer fitting work method,Conduct orientation on retainer fitting work method,PRODUCTION,J. Dimaculangan,OPEN,,,,
440,21,MAZDA,J30A,1138,Non compliance on pull twice for terminals,Conduct orientation on pull twice for terminals,PRODUCTION,J. Dimaculangan,OPEN,,,,
441,22,MAZDA,J30A,1138,Associate is not aware that terminal have an electric wire within 10mm,Conduct orientation that terminal have an electric wire within 10mm,PRODUCTION,J. Dimaculangan,OPEN,,,,
442,23,MAZDA,J30A,1138,'Lack of knowledge of associate regarding bending frequency,"Re-orient all sub assy and assy associate.
Posting of Bending frequency on all sub PC machine.",PRODUCTION,J. Dimaculangan,OPEN,,,,
443,24,MAZDA,J30A,1138,Some associates has no provided E-bags,Request E-BAG  for  all associate,PRODUCTION,J. Dimaculangan,OPEN,,,,
444,28,MAZDA,J30A,1138,Lack of knowledge on inspection standard and inspection method on Dimension Inspection,Conduct orientation on inspection standard and inspection method,QA-Final ,,OPEN,,,,
445,29,MAZDA,J30A,1138,NG color of 3D jig in dimension,Request to repair NG color of 3D jig in dimension,PE-BAE (ASSY DEV),N. Axalan,OPEN,,,,
446,30,MAZDA,J30A,1138,Similar connector of the branch reference 20&21,Provide reference on dimension inspection,PRODUCTION,J. Dimaculangan,OPEN,,,,
447,32,MAZDA,J30A,1138,Tension wire on checker YSL-2F,Check if can adjust the checker YSL-2F,PE-BAE (ECT),Sherwin,OPEN,,,,
448,33,MAZDA,J30A,1138,Associate did not conduct checking of continuity,Orientation on checking continuity,PRODUCTION,J. Dimaculangan,OPEN,,,,
449,34,MAZDA,J30A,1138,Associate is not aware on sequence in ECT procesS,Orientation on sequence in ECT Process,PRODUCTION,J. Dimaculangan,OPEN,,,,
450,36,MAZDA,J30A,1138,Tape box installed is far,Move the location of tape box,PE-FABRICATION,,OPEN,,,,
451,37,MAZDA,J30A,1138,Conn. 27 can be combine to conn. 32,Provide U-jig,PE-BAE (ASSY DEV),N. Axalan,OPEN,,,,
452,39,MAZDA,J30A,1138,Similar connector of the branch reference 20&21,Provide reference on appearance inspection,PRODUCTION,J. Dimaculangan,OPEN,,,,
453,40,MAZDA,J30A,1138,Faded alignment checker jig,Refill ink,PRODUCTION,J. Dimaculangan,OPEN,,,,
454,42,MAZDA,J30A,1138,Dimension between assy jigs ,Conduct checking of dimension between assy jigs,PE-BAE (ASSY DEV),N. Axalan,OPEN,,,,
455,1,MAZDA,J78A-030,1144,"Wrong issue of parts
 (Slit VO8)",Monitoring of received parts,PRODUCTION,,,,,,
456,2,MAZDA,J78A-030,1144,Storage box is not higher than the tsumusen area,Request to move the storage box upper than the tsumusen area ,ME-Initial (Preparation),,,,,,
457,3,MAZDA,J78A-030,1144,Faded upper line limit,Request to have a clearer upper line limit,PRODUCTION,,,,,,
458,4,MAZDA,J78A-030,1144,Connector exceeds on the upper line limit,Request to remove excess connectors on tupper boxes,PRODUCTION,,,,,,
459,5,MAZDA,J78A-030,1144,No running product label on sub,Request for running product label,PRODUCTION,,,,,,
460,6,MAZDA,J78A-030,1144,Associate is not aware regarding frequency of bending,Request for associate's re-orientation regarding the bending frequency,PRODUCTION,,,,,,
461,7,MAZDA,J78A-030,1144,Measurement of C Group jigs for verification,Request for verification of jig measurement,PE-BAE (ASSY DEV),,,,,,
462,8,MAZDA,J78A-030,1144,No OI posted for C Group,Request to provide OI for C Group,ME-NPI (MPPD),,,,,,
463,9,MAZDA,J78A-030,1144,With common jigs,Request for common jigs replacement,PE-BAE (ASSY DEV),,,,,,
464,10,MAZDA,J78A-030,1144,"Possible interchange of 'Connectors 249, 214 and 79

Possible interchange of Connectors 201, 15, 13 and 72 - SSG-UF-14F C connector 79 and 212 - SNH-24F per applicable connector 129
",Request to provide color indicator on assy jig based on product card label or unique insertion of shikakari,ME-FIE-PE (FMEA),,,,,,
465,11,MAZDA,J78A-030,1144,UP-DOWN-LEFT-RIGHT rule for confirmation if still applicable,Request for a follow up on UP-DOWN-LEFT-RIGHT rule revision,ME-Initial (Preparation),,,,,,
466,12,MAZDA,J78A-030,1144,Possible wrong view/possible wrong use,"'Request to provide dummy jig on 51,204,177,LA in all assy board",PE-BAE (Maintenance),,,,,,
467,13,MAZDA,J78A-030,1144," Connector 96 possible to wrong combine possible to wrong view Cord 208, 5, 148, 58, and 104",Request to conduct re-study/re-evaluation,ME-FIE-PE (FMEA),,,,,,
468,14,MAZDA,J78A-030,1144,No spacer on Connector 166,Request to provide spacer (POM) on conn.166 in all assy board,PE-BAE (Maintenance),,,,,,
469,16,MAZDA,J78A-030,1144,No SPIN on Connector 90,Request for Spin on Connector 90,PE-BAE (Maintenance),,,,,,
470,17,MAZDA,J78A-030,1144,"Lacking/Missing tanmatsu 
 (Connector 5 and Connector 208)", Request to provide tanmatsu,PE-BAE (Maintenance),,,,,,
471,18,MAZDA,J78A-030,1144,Some cords are hard to remove,Request to improve the jigs of all cords in all assy board ,PE-BAE (Maintenance),,,,,,
472,19,MAZDA,J78A-030,1144,Lacking/Missing locksets,Request to provide lock set in all connector jigs on all assy board,PE-BAE (Maintenance),,,,,,
473,21,MAZDA,J78A-030,1144,Associates are not wearing E-BAG,Request to provide E-BAG,PE-FABRICATION,,On-going,10-Jun-23,,,
474,24,MAZDA,J78A-030,1144,Missing STU,Request to provide tupper box for STU3X15X65SVN in all assy board ,PE-BAE (Maintenance),,,,,,
475,25,MAZDA,J78A-030,1144,Lacking/Missing bendable cover, Request to provide bendable cover on bendble jig in option process.,PE-BAE (Maintenance),,,,,,
476,26,MAZDA,J78A-030,1144,Missing sensor detection of STU,Request to provide sensor for STU on ECT,PE-BAE (Maintenance),,,,,,
477,27,MAZDA,J78A-030,1144,Possible wrong binding,Request to provide parallel pin on conn.77,PE-BAE (Maintenance),,,,,,
478,28,MAZDA,J78A-030,1144,"Possible interchange of connectors
","Request for pokayoke 

A GROUP -Connector 249, 79 and Connector 13, 72
C GROUP- Connector 79,212 and Connector 201, 15",ME-FIE-PE (FMEA),,,,,,
479,29,MAZDA,J78A-030,1144,"Prone to wrong orientation (79-SNH-24F, 212-SNH-24F, 219 - Pink, 220 - Blue)",Request to provide reflectorized tape on assy jig as per applied product,ME-FIE-PE (FMEA),,,,,,
480,30,MAZDA,J78A-030,1144,"Lacking/Missing receiving jig

(Clamp YB-31-B (Airbag) and CL-B511C91-B near Connector SNH-24F)",Request to provide receiving jig on Shiage ,PE-BAE (ASSY DEV),,,,,,
481,31,MAZDA,J78A-030,1144,Possible insulation lowering and damage insulation,Request to provide an appearance attention note on Connector 136,ME-FIE-PE (FMEA),,,,,,
482,32,MAZDA,J78A-030,1144,Process design MP count and actual MP count is not tally,Request for APQP manager confirmation regarding on the count of MP,ME-FIE-PE (FMEA),,,,,,
483,33,MAZDA,J78A-030,1144,Associate is not aware on what to do when the tape rans out,Request for associate's reorientation regarding on what to do when the tape rans out,PRODUCTION,,,,,,
484,34,MAZDA,J78A-030,1144,No ink available,Request for an ink replacement (SSG-TP-10M),PE-EQ-FINAL,,,,,,
485,35,MAZDA,J78A-030,1144,NG extraction tools,"Request for fixation of the extraction tools (090 YSVF,BNY, ASEM, SSGM)",ME-Initial (Preparation),,,,,,
486,2,MAZDA,J72_100,1124,Damaged sample picture,Request to repair damaged sample picture,PE-FABRICATION,M. Carandang,OPEN,,,,
487,6,MAZDA,J72_101,1124,No provided product label on Sub Assy,Request to provide product label,PE-FABRICATION,M. Carandang,OPEN,,,,
488,12,MAZDA,J72_101,1124,Not following SOT,Compliance on following SOT,PRODUCTION,J. Garcia,OPEN,,,,
489,2,MAZDA,J78A-010,1143,Lay-out and Sub assy associate is un aware on bending frequency.,Request to conduct re-orientation for wire bending frequency,PRODUCTION, C. Orense/ B. Awat,OPEN,,,,
490,3,MAZDA,J78A-010,1143,Overstocking of parts,Conduct re-orientation to all sub assy members regarding proper stocking of parts on tupperbox,PRODUCTION, C. Orense/ B. Awat,OPEN,,,,
491,4,MAZDA,J78A-010,1143,Damaged wire catcher on sub assy process,Request to repair damaged wire catcher on sub assy process,PE-FABRICATION,,OPEN,,,,
492,5,MAZDA,J78A-010,1143,No good 5's on wire catcher and sub assy jig.,Conduct 5s on sub assy area,PRODUCTION, C. Orense/ B. Awat,OPEN,,,,
